condition,chain,generation,error
filtered,a,0,0.6406526
filtered,a,1,0.4733646
filtered,a,2,0.281726
filtered,a,3,0.1990741
filtered,a,4,0.2669753
filtered,a,5,0.2746914
filtered,a,6,0.1203704
filtered,a,7,0.2244268
filtered,a,8,0.2515432
filtered,a,9,0.289903
filtered,b,0,0.791314
filtered,b,1,0.5957231
filtered,b,2,0.3556731
filtered,b,3,0.474368
filtered,b,4,0.5525008
filtered,b,5,0.4732171
filtered,b,6,0.2211094
filtered,b,7,0.281668
filtered,b,8,0.1815456
filtered,b,9,0.4709195
filtered,c,0,0.7361111
filtered,c,1,0.6546884
filtered,c,2,0.5814227
filtered,c,3,0.3487654
filtered,c,4,0.4726631
filtered,c,5,0.3637566
filtered,c,6,0.4228395
filtered,c,7,0.3899912
filtered,c,8,0.321649
filtered,c,9,0.2193563
filtered,d,0,0.7098765
filtered,d,1,0.7052469
filtered,d,2,0.5
filtered,d,3,0.627572
filtered,d,4,0.348096
filtered,d,5,0.4377639
filtered,d,6,0.3583734
filtered,d,7,0.4010061
filtered,d,8,0.4142777
filtered,d,9,0.1910574
unfiltered,e,0,0.7484568
unfiltered,e,1,0.5509259
unfiltered,e,2,0.5432099
unfiltered,e,3,0.5030864
unfiltered,e,4,0.2808642
unfiltered,e,5,0.1358025
unfiltered,e,6,0.154321
unfiltered,e,7,0
unfiltered,e,8,0.04938272
unfiltered,e,9,0
unfiltered,f,0,0.7026749
unfiltered,f,1,0.4418136
unfiltered,f,2,0.2829512
unfiltered,f,3,0.2630071
unfiltered,f,4,0.2583774
unfiltered,f,5,0.1234568
unfiltered,f,6,0.0617284
unfiltered,f,7,0.2045855
unfiltered,f,8,0.1111111
unfiltered,f,9,0.0617284
unfiltered,g,0,0.6759259
unfiltered,g,1,0.6743827
unfiltered,g,2,0.5185185
unfiltered,g,3,0.507716
unfiltered,g,4,0.6227954
unfiltered,g,5,0.7184744
unfiltered,g,6,0.2839506
unfiltered,g,7,0.1265432
unfiltered,g,8,0.2253086
unfiltered,g,9,0.2469136
unfiltered,h,0,0.7347884
unfiltered,h,1,0.685097
unfiltered,h,2,0.4432099
unfiltered,h,3,0.2234568
unfiltered,h,4,0.0925926
unfiltered,h,5,0.2962963
unfiltered,h,6,0.1271605
unfiltered,h,7,0.182716
unfiltered,h,8,0
unfiltered,h,9,0
