condition,chain,generation,structure
filtered,a,0,1.196913
filtered,a,1,1.116749
filtered,a,2,8.379084
filtered,a,3,8.512729
filtered,a,4,12.11278
filtered,a,5,10.42191
filtered,a,6,8.848611
filtered,a,7,11.34772
filtered,a,8,8.24054
filtered,a,9,7.754854
filtered,a,10,3.785029
filtered,b,0,-1.754591
filtered,b,1,2.900759
filtered,b,2,5.979586
filtered,b,3,6.181475
filtered,b,4,3.980215
filtered,b,5,4.365133
filtered,b,6,5.114227
filtered,b,7,7.337294
filtered,b,8,7.129145
filtered,b,9,6.563609
filtered,b,10,0.173896
filtered,c,0,-0.9268383
filtered,c,1,0.4138245
filtered,c,2,2.962552
filtered,c,3,5.597061
filtered,c,4,9.581055
filtered,c,5,3.093048
filtered,c,6,7.973693
filtered,c,7,6.977098
filtered,c,8,8.356525
filtered,c,9,13.64638
filtered,c,10,11.88292
filtered,d,0,-0.2707316
filtered,d,1,2.778391
filtered,d,2,6.130462
filtered,d,3,4.342
filtered,d,4,5.943327
filtered,d,5,10.36008
filtered,d,6,8.391899
filtered,d,7,6.011642
filtered,d,8,3.969232
filtered,d,9,8.390003
filtered,d,10,9.624674
unfiltered,e,0,1.224306
unfiltered,e,1,2.435149
unfiltered,e,2,2.058783
unfiltered,e,3,3.141651
unfiltered,e,4,4.658551
unfiltered,e,5,2.332647
unfiltered,e,6,1.514662
unfiltered,e,7,2.58997
unfiltered,e,8,2.724813
unfiltered,e,9,NA
unfiltered,e,10,NA
unfiltered,f,0,0.965845
unfiltered,f,1,5.131087
unfiltered,f,2,6.914547
unfiltered,f,3,8.58008
unfiltered,f,4,7.45728
unfiltered,f,5,4.439507
unfiltered,f,6,5.517854
unfiltered,f,7,5.433573
unfiltered,f,8,5.026248
unfiltered,f,9,7.42156
unfiltered,f,10,8.701967
unfiltered,g,0,0.7688689
unfiltered,g,1,0.3993785
unfiltered,g,2,1.515944
unfiltered,g,3,2.605286
unfiltered,g,4,0.8956198
unfiltered,g,5,0.4375119
unfiltered,g,6,4.587311
unfiltered,g,7,5.592733
unfiltered,g,8,5.305298
unfiltered,g,9,4.552305
unfiltered,g,10,6.015926
unfiltered,h,0,0.953204
unfiltered,h,1,0.948098
unfiltered,h,2,3.649774
unfiltered,h,3,5.000582
unfiltered,h,4,6.024387
unfiltered,h,5,6.729356
unfiltered,h,6,7.226164
unfiltered,h,7,7.460486
unfiltered,h,8,8.602426
unfiltered,h,9,8.809884
unfiltered,h,10,8.775965
